,avg_Segment_length,direct_distance,full_road_diversity,max_angle,max_pivot_off,mean_angle,mean_pivot_off,mean_road_diversity,median_angle,median_pivot_off,min_angle,min_pivot_off,num_l_turns,num_r_turns,num_straights,road_distance,safety,std_angle,std_pivot_off,test_duration,total_angle,test_id
0,23.425351297012337,151.0441458012382,331.4869013128564,60.9711066728916,112.29381046383062,-6.430454368976556,47.5663200004904,36.83187792365071,-8.876783155048692,48.29385505296772,-59.96473488623673,0,2,6,1,210.82816167311103,FAIL,35.48596962552331,30.87415599823042,18.017724752426147,-57.874089320789,dest3\00009_test.json
1,15.086591878724212,15.001855349037744,60.91686798613269,46.21688585664836,59.6810204961422,-19.920171297603645,31.91571969048239,6.091686798613269,13.261617790743049,32.63058741443375,-342.1696798155321,0,8,1,1,150.86591878724212,FAIL,113.8451412700073,18.937567728556672,4.864258766174316,-199.2017129760364,dest3\00008_test.json
2,19.227446088072575,113.82965267131537,358.058116978969,23.585869252849857,96.27742649439459,-8.020527761361564,40.19218756727839,29.838176414914084,-1.316323434833544,44.21856689993916,-94.48486516457316,0,3,5,4,230.7293530568709,PASS,29.871170722522052,34.39834250958434,26.705914735794067,-96.24633313633876,dest3\00007_test.json
3,19.246760450145363,106.79788098222272,378.5067693604326,128.80060659523676,173.47590872323946,-13.688620156783047,42.6349842494478,31.54223078003605,4.90877226055383,32.013631113937286,-351.8396098832651,0,6,2,4,230.96112540174437,PASS,112.5380060498753,52.63065180408739,29.430260181427002,-164.26344188139657,dest3\00006_test.json
4,13.90839583730373,142.73223207518282,89.14631805258792,347.1328146669332,67.18437262264158,1.9425931290434113,26.509034079100616,6.857409080968301,0.8080077029619545,31.047127215382538,-349.18838458880145,0,4,5,4,180.8091458849485,FAIL,142.76508067736842,26.545793861173426,13.310033559799194,25.253710677564342,dest3\00005_test.json
5,18.797941077137068,129.82149569706323,111.47365635214948,37.98083889759377,72.74935227426396,-42.44442706214967,29.934078359320136,13.934207044018684,-5.2495764698265575,20.270599756829732,-324.87188162638495,0,1,4,3,150.38352861709654,PASS,115.60583734466792,32.64968206187673,18.767658948898315,-339.5554164971974,dest3\00004_test.json
6,20.08560433890512,24.22581405600841,139.3171696888509,45.429250722330565,115.92388689054796,22.078624464201358,51.3111092262711,15.479685520983432,13.153796298161144,34.42860438358658,3.519735507912146,0,8,0,1,180.77043905014608,PASS,16.86814816635699,37.63262974665543,23.376402616500854,198.70762017781223,dest3\00003_test.json
7,23.36689845877252,148.33653521131805,159.1103132821869,12.788973331691809,325.93325598430783,-6.051221783738614,79.47404723124431,17.678923698020768,-3.8222702931363792,63.512292882759624,-48.860967765150825,0,2,4,3,210.30208612895268,FAIL,17.415503911233262,101.24485556056457,21.931544065475464,-54.46099605364753,dest3\00002_test.json
8,15.602144134642641,117.37251326213928,40.33575878362026,355.7896619632348,58.3775185682457,4.758681774984013,24.551067754183496,4.481750975957806,-2.7214819525167524,30.220386216195802,-326.96132830364814,0,4,3,2,140.41929721178377,PASS,171.03857165787704,23.252673709265284,18.284965753555298,42.828135974856096,dest3\00001_test.json
9,20.067364056189128,24.489900479117274,138.1161979714339,49.44055721882261,99.1901829498134,-20.854915123437873,34.99001023286694,13.81161979714339,8.626316770622545,33.94368530365324,-347.8030010606695,0,6,1,3,200.67364056189126,PASS,115.83882718886564,35.79716753008006,26.008471727371216,-208.54915123437874,dest3\00000_test.json
